Moon Name	Document Title	Document Content	Source URL
Ganymede	Atmosphere Studies	Ganymede has a thin oxygen atmosphere, created by radiation breaking up water ice on its surface	https://science.nasa.gov/jupiter/moons/ganymede
Callisto	Geological Stability	Callisto shows little evidence of current geological activity, preserving ancient surface features	https://solarsystem.nasa.gov/moons/jupiter-moons/callisto
Eukelade	Discovery Context	Eukelade was discovered using the Canada-France-Hawaii Telescope in 2003	https://science.nasa.gov/jupiter/moons
Cyllene	Orbital Parameters	Cyllene has a semi-major axis of approximately 23.8 million kilometers	https://solarsystem.nasa.gov/moons/jupiter-moons
Kore	Size Studies	Kore is one of Jupiter's smaller irregular satellites, with an estimated diameter of 2 kilometers	https://science.nasa.gov/jupiter/moons
Herse	Recent Discovery	Herse was one of the more recently discovered Jovian moons, found in 2003	https://solarsystem.nasa.gov/moons/jupiter-moons
S/2003 J 2	Provisional Status	This moon remains provisionally designated, awaiting formal naming by the IAU	https://science.nasa.gov/jupiter/moons
S/2003 J 4	Orbit Characteristics	This provisional moon orbits Jupiter in a retrograde direction at a high inclination	https://solarsystem.nasa.gov/moons/jupiter-moons
Dia	Historical Context	Dia was discovered in 2000 and named after a figure from Greek mythology	https://science.nasa.gov/jupiter/moons
Eirene	Physical Properties	Eirene is estimated to be approximately 4 kilometers in diameter	https://solarsystem.nasa.gov/moons/jupiter-moons
Philophrosyne	Orbital Group	Philophrosyne belongs to a group of irregular satellites with similar orbital characteristics	https://science.nasa.gov/jupiter/moons
Eupheme	Discovery Method	Eupheme was discovered through ground-based telescope observations	https://solarsystem.nasa.gov/moons/jupiter-moons
S/2003 J 19	Provisional Research	This moon's orbit is still being studied to better understand its dynamics	https://science.nasa.gov/jupiter/moons
Valetudo	Unique Properties	Valetudo is unique among Jupiter's moons as it orbits prograde while crossing paths with retrograde moons	https://science.nasa.gov/jupiter/moons
Ersa	Recent Studies	Ersa was discovered in 2018 and belongs to the prograde group of Jupiter's outer moons	https://solarsystem.nasa.gov/moons/jupiter-moons
Pandia	Size Analysis	Pandia is approximately 3 kilometers in diameter, based on recent observations	https://science.nasa.gov/jupiter/moons
S/2017 J 1	Orbital Study	This provisional moon has an orbital period of approximately 740 days	https://solarsystem.nasa.gov/moons/jupiter-moons
Io	Mountain Studies	Io has mountains up to 16 kilometers high, formed by compression of the surface by tectonic forces	https://science.nasa.gov/jupiter/moons/io
Europa	Lineae Formation	Europa's distinctive linear features (lineae) may be formed by cracks in the ice shell	https://europa.nasa.gov
Ganymede	Polar Studies	Ganymede's polar regions show evidence of recent geological activity	https://science.nasa.gov/jupiter/moons/ganymede
Callisto	Subsurface Analysis	Recent studies suggest Callisto may have a subsurface ocean of liquid water	https://solarsystem.nasa.gov/moons/jupiter-moons/callisto
Themisto	Orbital Group	Themisto is the only known member of its own orbital group around Jupiter	https://science.nasa.gov/jupiter/moons
Megaclite	Distance Studies	Megaclite orbits at an average distance of 23.8 million kilometers from Jupiter	https://solarsystem.nasa.gov/moons/jupiter-moons
Taygete	Group Dynamics	Taygete is a member of the Carme group, sharing orbital characteristics with other group members	https://science.nasa.gov/jupiter/moons
Chaldene	Physical Features	Chaldene is a small, irregular satellite with an estimated radius of 1.9 kilometers	https://solarsystem.nasa.gov/moons/jupiter-moons
Harpalyke	Orbit Analysis	Harpalyke has a highly eccentric orbit around Jupiter	https://science.nasa.gov/jupiter/moons
Kalyke	Size Estimates	Kalyke is approximately 6.9 kilometers in diameter based on brightness measurements	https://solarsystem.nasa.gov/moons/jupiter-moons
Iocaste	Discovery History	Iocaste was discovered in 2000 during a systematic survey of Jupiter's outer moons	https://science.nasa.gov/jupiter/moons
Erinome	Orbital Period	Erinome takes approximately 728 days to complete one orbit around Jupiter	https://solarsystem.nasa.gov/moons/jupiter-moons
Isonoe	Group Member	Isonoe is part of the Carme group of irregular satellites	https://science.nasa.gov/jupiter/moons
Praxidike	Physical Properties	Praxidike has an estimated diameter of 7 kilometers and a dark surface	https://solarsystem.nasa.gov/moons/jupiter-moons
Autonoe	Retrograde Motion	Autonoe orbits Jupiter in a retrograde direction, like many outer irregular satellites	https://science.nasa.gov/jupiter/moons
Thyone	Group Studies	Thyone belongs to the Ananke group, sharing similar orbital characteristics with other members	https://solarsystem.nasa.gov/moons/jupiter-moons
Hermippe	Size Research	Hermippe is estimated to be approximately 4 kilometers in diameter	https://science.nasa.gov/jupiter/moons
Aitne	Discovery Details	Aitne was discovered in 2001 as part of a survey of Jupiter's outer satellites	https://solarsystem.nasa.gov/moons/jupiter-moons
Eurydome	Orbital Parameters	Eurydome has a semi-major axis of approximately 22.9 million kilometers	https://science.nasa.gov/jupiter/moons
Euanthe	Physical Studies	Euanthe is a small irregular satellite with an estimated radius of 1.5 kilometers	https://solarsystem.nasa.gov/moons/jupiter-moons
S/2003 J 10	Provisional Data	This moon's orbit is still being studied to determine its precise characteristics	https://science.nasa.gov/jupiter/moons
Io	Lava Lake Research	Loki Patera on Io is the largest active lava lake in the solar system	https://solarsystem.nasa.gov/moons/jupiter-moons/io
Europa	Chaos Terrain Study	Europa's "chaos terrain" suggests interaction between the surface ice and underlying ocean	https://europa.nasa.gov
Ganymede	Magnetosphere Research	Ganymede's magnetosphere interacts with Jupiter's, creating unique aurora patterns	https://science.nasa.gov/jupiter/moons/ganymede
Callisto	Crater Analysis	Callisto's Valhalla basin is surrounded by multiple rings of concentric faults	https://solarsystem.nasa.gov/moons/jupiter-moons/callisto
Amalthea	Density Studies	Amalthea's low density suggests it has significant internal porosity	https://science.nasa.gov/jupiter/moons/amalthea
Thebe	Surface Features	Thebe shows evidence of mass wasting, where material has slid downslope	https://solarsystem.nasa.gov/moons/jupiter-moons/thebe
Metis	Ring Contributions	Metis helps maintain Jupiter's ring system through dust ejection	https://science.nasa.gov/jupiter/moons/metis
Adrastea	Size Measurements	Adrastea is one of Jupiter's smallest inner moons, with dimensions of 20x16x14 kilometers	https://solarsystem.nasa.gov/moons/jupiter-moons/adrastea
S/2003 J 12	Orbital Studies	This provisional moon has a highly inclined orbit around Jupiter	https://science.nasa.gov/jupiter/moons
S/2003 J 16	Physical Analysis	This moon is estimated to be less than 2 kilometers in diameter	https://solarsystem.nasa.gov/moons/jupiter-moons
Io	Sulfur Deposits	Io's surface is covered in various forms of sulfur and sulfur dioxide, creating its distinctive yellow-orange color	https://science.nasa.gov/jupiter/moons/io
Io	Silicate Analysis	Silicate volcanic rocks on Io are primarily basaltic in composition, similar to Earth's volcanic regions	https://solarsystem.nasa.gov/moons/jupiter-moons/io
Io	Sodium Chloride	Recent studies have detected sodium chloride (table salt) on Io's surface, suggesting complex chemical processes	https://science.nasa.gov/jupiter/moons/io
Europa	Ice Composition	Europa's ice shell contains various hydrated minerals and salts, including magnesium sulfate and sodium sulfate	https://europa.nasa.gov
Europa	Surface Chemistry	The reddish-brown streaks on Europa contain irradiated sodium chloride (table salt) and sulfur compounds	https://science.nasa.gov/jupiter/moons/europa
Europa	Mineral Analysis	Spectroscopic analysis suggests the presence of magnesium sulfate, sodium sulfate, and hydrogen peroxide on the surface	https://solarsystem.nasa.gov/moons/jupiter-moons/europa
Ganymede	Rock Distribution	Ganymede's composition is approximately 60% rock and 40% water ice, with varying distributions	https://science.nasa.gov/jupiter/moons/ganymede
Ganymede	Mineral Content	Dark regions on Ganymede contain clays and organic compounds, while bright regions are nearly pure water ice	https://solarsystem.nasa.gov/moons/jupiter-moons/ganymede
Ganymede	Core Composition	Ganymede's core is rich in iron and nickel, surrounded by a rocky mantle and icy outer layers	https://science.nasa.gov/jupiter/moons/ganymede
Callisto	Ice Analysis	Callisto's surface is composed of approximately 50% water ice and 50% rock and carbon-based compounds	https://solarsystem.nasa.gov/moons/jupiter-moons/callisto
Callisto	Carbon Presence	Dark material on Callisto's surface contains organic compounds and carbon dioxide frost	https://science.nasa.gov/jupiter/moons/callisto
Callisto	Mineral Deposits	Iron and magnesium-bearing minerals have been detected in Callisto's dark surface material	https://solarsystem.nasa.gov/moons/jupiter-moons/callisto
Amalthea	Surface Material	Amalthea's red color suggests the presence of sulfur compounds possibly originating from Io	https://science.nasa.gov/jupiter/moons/amalthea
Thebe	Rock Composition	Thebe's surface appears to be composed primarily of water ice mixed with dark rocky material	https://solarsystem.nasa.gov/moons/jupiter-moons/thebe
Metis	Material Analysis	Spectroscopic studies suggest Metis is composed of dark carbonaceous material similar to C-type asteroids	https://science.nasa.gov/jupiter/moons/metis
Himalia	Mineral Study	Himalia's surface shows absorption features consistent with water-bearing minerals	https://solarsystem.nasa.gov/moons/jupiter-moons/himalia
Lysithea	Surface Spectra	Spectral analysis suggests Lysithea's surface contains water ice mixed with dark rocky materials	https://science.nasa.gov/jupiter/moons/lysithea
Elara	Composition Study	Elara's surface appears to be rich in silicates and possibly contains organic compounds	https://solarsystem.nasa.gov/moons/jupiter-moons/elara
Pasiphae	Material Content	Pasiphae's dark surface suggests a composition similar to carbonaceous asteroids	https://science.nasa.gov/jupiter/moons/pasiphae
Sinope	Chemical Analysis	Spectroscopic data indicates Sinope's surface contains water ice and dark organic compounds	https://solarsystem.nasa.gov/moons/jupiter-moons/sinope
Io	Magma Composition	Ultramafic magmas on Io contain high concentrations of magnesium and iron-rich minerals	https://science.nasa.gov/jupiter/moons/io
Europa	Hydrated Minerals	Infrared spectroscopy has revealed various hydrated sulfate and carbonate minerals in Europa's ice	https://europa.nasa.gov
Ganymede	Ice Distribution	Different forms of water ice (crystalline and amorphous) are distributed across Ganymede's surface	https://science.nasa.gov/jupiter/moons/ganymede
Callisto	Surface Deposits	Impact craters on Callisto contain deposits of bright, clean water ice mixed with rocky debris	https://solarsystem.nasa.gov/moons/jupiter-moons/callisto
Thebe	Dust Analysis	Thebe's surface material contributes to Jupiter's gossamer rings through dust ejection	https://science.nasa.gov/jupiter/moons/thebe
Amalthea	Rock Content	Despite its low density, Amalthea contains significant rocky material mixed with ice	https://solarsystem.nasa.gov/moons/jupiter-moons/amalthea
Metis	Ring Material	Dust particles from Metis's surface contribute to the formation of Jupiter's main ring	https://science.nasa.gov/jupiter/moons/metis
Carme	Surface Study	Carme's surface composition suggests it may be a captured asteroid rich in carbon compounds	https://solarsystem.nasa.gov/moons/jupiter-moons/carme
Ananke	Material Origins	Spectral analysis suggests Ananke's surface material originated from a carbon-rich asteroid	https://science.nasa.gov/jupiter/moons/ananke
Leda	Composition Data	Leda's surface appears to contain water ice mixed with dark carbonaceous materials	https://solarsystem.nasa.gov/moons/jupiter-moons/leda
Europa	Biomarker Research	Scientists have identified potential chemical biomarkers in Europa's surface ice that could indicate biological processes	https://europa.nasa.gov
Europa	Ocean Habitability	Europa's subsurface ocean is believed to have the right chemical balance and energy sources to potentially support microbial life	https://science.nasa.gov/jupiter/moons/europa
Europa	Hydrothermal Activity	Evidence suggests hydrothermal vents on Europa's ocean floor could provide energy and nutrients for potential life forms	https://europa.nasa.gov
Europa	Chemical Energy	Europa's ocean floor might have chemical energy sources similar to Earth's deep-sea ecosystems	https://science.nasa.gov/jupiter/moons/europa
Europa	Oxidants Study	Surface oxidants could mix with subsurface water, creating energy sources for potential life	https://solarsystem.nasa.gov/moons/jupiter-moons/europa
Ganymede	Deep Ocean Life	Ganymede's deep ocean layers might contain conditions suitable for extreme forms of life similar to Earth's deep-sea organisms	https://science.nasa.gov/jupiter/moons/ganymede
Ganymede	Pressure Analysis	The pressure conditions in Ganymede's ocean could support microbial life adapted to high-pressure environments	https://solarsystem.nasa.gov/moons/jupiter-moons/ganymede
Ganymede	Chemical Exchange	The interaction between Ganymede's rocky core and ocean could create conditions favorable for chemosynthetic life	https://science.nasa.gov/jupiter/moons/ganymede
Ganymede	Magnetic Protection	Ganymede's magnetic field might protect potential life forms from harmful radiation	https://solarsystem.nasa.gov/moons/jupiter-moons/ganymede
Callisto	Subsurface Potential	Callisto's possible subsurface ocean could harbor simple life forms adapted to cold, dark environments	https://science.nasa.gov/jupiter/moons/callisto
Callisto	Organic Compounds	The presence of organic compounds on Callisto's surface suggests potential building blocks for life	https://solarsystem.nasa.gov/moons/jupiter-moons/callisto
Callisto	Deep Layer Analysis	Studies suggest Callisto's deep liquid layers might contain dissolved minerals necessary for life	https://science.nasa.gov/jupiter/moons/callisto
Europa	Radiation Impact	While surface radiation on Europa is intense, it could create compounds beneficial for potential subsurface life	https://europa.nasa.gov
Europa	Salt Concentration	The salt content in Europa's ocean might be similar to Earth's oceans, potentially supporting life	https://science.nasa.gov/jupiter/moons/europa
Europa	Oxygen Production	Surface ice radiation produces oxygen that could support aerobic life in the subsurface ocean	https://solarsystem.nasa.gov/moons/jupiter-moons/europa
Ganymede	Nutrient Cycling	Potential mechanisms for nutrient cycling between Ganymede's core and ocean could support simple life forms	https://science.nasa.gov/jupiter/moons/ganymede
Ganymede	Temperature Zones	Different temperature zones in Ganymede's ocean layers could create diverse habitats for potential life	https://solarsystem.nasa.gov/moons/jupiter-moons/ganymede
Callisto	Chemical Gradients	Chemical gradients in Callisto's ocean could provide energy sources for potential microbial life	https://science.nasa.gov/jupiter/moons/callisto
Europa	Plume Biology	Water plumes from Europa could contain biosignatures if life exists in the subsurface ocean	https://europa.nasa.gov
Europa	pH Levels	The estimated pH levels of Europa's ocean fall within ranges suitable for life as we know it	https://science.nasa.gov/jupiter/moons/europa
Europa	Clay Minerals	Recently detected clay-like minerals on Europa could provide surfaces for organic molecule concentration and potential life development	https://solarsystem.nasa.gov/moons/jupiter-moons/europa
Ganymede	Silicate Interaction	Interaction between silicate materials and water could create conditions favorable for prebiotic chemistry	https://science.nasa.gov/jupiter/moons/ganymede
Ganymede	Redox Energy	Potential redox reactions in Ganymede's ocean could provide energy for biological processes	https://solarsystem.nasa.gov/moons/jupiter-moons/ganymede
Callisto	Liquid Stability	The stability of Callisto's liquid water layer could allow for long-term evolution of life forms	https://science.nasa.gov/jupiter/moons/callisto
Europa	Amino Acids	Surface chemistry might produce amino acids, essential building blocks for life as we know it	https://europa.nasa.gov
Europa	Tidal Energy	Tidal heating provides a consistent energy source that could support potential ecosystems	https://science.nasa.gov/jupiter/moons/europa
Ganymede	Organic Synthesis	Conditions in Ganymede's ocean might allow for the synthesis of complex organic molecules	https://solarsystem.nasa.gov/moons/jupiter-moons/ganymede
Callisto	Biological Potential	Though less likely than Europa or Ganymede, Callisto's ocean could still harbor simple life forms	https://science.nasa.gov/jupiter/moons/callisto
Europa	Future Missions	Upcoming missions will search for direct evidence of biological activity in Europa's ocean	https://europa.nasa.gov
Europa	Ecosystem Potential	Multiple energy sources and chemical compounds could support diverse microscopic ecosystems	https://science.nasa.gov/jupiter/moons/europa
